alarm_id,tower_id,equipment_id,timestamp,severity,alarm_type,description
ALM_001,TWR_1031,EQP_271,2026-02-06 10:02:00,Minor,Connection Timeout,Potential outage risk identified.
ALM_002,TWR_1065,EQP_171,2026-02-06 10:04:00,Critical,Power Fluctuation,"Temporary issue detected, monitoring recommended."
ALM_003,TWR_1018,EQP_307,2026-02-06 10:06:00,Critical,Network Congestion,Potential outage risk identified.
ALM_004,TWR_1011,EQP_468,2026-02-06 10:08:00,Major,Network Congestion,Immediate inspection required to prevent service disruption.
ALM_005,TWR_1086,EQP_381,2026-02-06 10:10:00,Major,Overheating,"Temporary issue detected, monitoring recommended."
ALM_006,TWR_1045,EQP_361,2026-02-06 10:12:00,Critical,Hardware Failure,Performance degradation observed in network segment.
ALM_007,TWR_1028,EQP_190,2026-02-06 10:14:00,Critical,Network Congestion,Potential outage risk identified.
ALM_008,TWR_1051,EQP_195,2026-02-06 10:16:00,Critical,Overheating,Requires maintenance intervention.
ALM_009,TWR_1083,EQP_416,2026-02-06 10:18:00,Critical,Hardware Failure,System auto-recovery initiated.
ALM_010,TWR_1082,EQP_135,2026-02-06 10:20:00,Critical,Connection Timeout,Requires maintenance intervention.
ALM_011,TWR_1003,EQP_384,2026-02-06 10:22:00,Major,Overheating,Performance degradation observed in network segment.
ALM_012,TWR_1016,EQP_269,2026-02-06 10:24:00,Minor,Overheating,Requires maintenance intervention.
ALM_013,TWR_1062,EQP_386,2026-02-06 10:26:00,Major,Overheating,System auto-recovery initiated.
ALM_014,TWR_1027,EQP_382,2026-02-06 10:28:00,Minor,Connection Timeout,Immediate inspection required to prevent service disruption.
ALM_015,TWR_1011,EQP_197,2026-02-06 10:30:00,Minor,Connection Timeout,Requires maintenance intervention.
ALM_016,TWR_1006,EQP_474,2026-02-06 10:32:00,Critical,Signal Drop,System auto-recovery initiated.
ALM_017,TWR_1085,EQP_174,2026-02-06 10:34:00,Major,Connection Timeout,Potential outage risk identified.
ALM_018,TWR_1027,EQP_465,2026-02-06 10:36:00,Major,Overheating,Performance degradation observed in network segment.
ALM_019,TWR_1050,EQP_455,2026-02-06 10:38:00,Critical,Network Congestion,"Temporary issue detected, monitoring recommended."
ALM_020,TWR_1098,EQP_257,2026-02-06 10:40:00,Critical,Connection Timeout,"Temporary issue detected, monitoring recommended."
ALM_021,TWR_1067,EQP_403,2026-02-06 10:42:00,Minor,Network Congestion,Potential outage risk identified.
ALM_022,TWR_1040,EQP_395,2026-02-06 10:44:00,Minor,Hardware Failure,Requires maintenance intervention.
ALM_023,TWR_1030,EQP_248,2026-02-06 10:46:00,Critical,Hardware Failure,System auto-recovery initiated.
ALM_024,TWR_1095,EQP_391,2026-02-06 10:48:00,Critical,Hardware Failure,System auto-recovery initiated.
ALM_025,TWR_1029,EQP_201,2026-02-06 10:50:00,Critical,Overheating,System auto-recovery initiated.
ALM_026,TWR_1057,EQP_488,2026-02-06 10:52:00,Major,Power Fluctuation,System auto-recovery initiated.
ALM_027,TWR_1060,EQP_221,2026-02-06 10:54:00,Minor,Connection Timeout,System auto-recovery initiated.
ALM_028,TWR_1015,EQP_190,2026-02-06 10:56:00,Major,Power Fluctuation,System auto-recovery initiated.
ALM_029,TWR_1021,EQP_341,2026-02-06 10:58:00,Major,Hardware Failure,Potential outage risk identified.
ALM_030,TWR_1032,EQP_220,2026-02-06 11:00:00,Major,Network Congestion,Potential outage risk identified.
ALM_031,TWR_1097,EQP_308,2026-02-06 11:02:00,Minor,Overheating,Requires maintenance intervention.
