equipment_id,tower_id,equipment_type,vendor,model,install_date,status
1,63,Antenna,Ericsson,Model-VL,2023-05-11,Maintenance
2,485,Antenna,Samsung,Model-FD,2021-08-01,Active
3,116,BTS,Nokia,Model-gb,2024-07-08,Active
4,191,Router,ZTE,Model-DZ,2024-09-25,Active
5,62,BTS,Huawei,Model-yM,2025-09-26,Faulty
6,256,BTS,Samsung,Model-NJ,2023-03-20,Faulty
7,483,Antenna,Samsung,Model-tq,2024-04-30,Active
8,7,Antenna,Ericsson,Model-pL,2023-02-04,Maintenance
9,155,Antenna,Ericsson,Model-AO,2023-08-31,Maintenance
10,92,Antenna,Samsung,Model-qb,2021-03-29,Faulty
11,470,Router,Nokia,Model-sp,2025-08-19,Faulty
12,14,Router,Huawei,Model-Ua,2025-01-05,Active
13,455,Router,Ericsson,Model-vl,2022-07-20,Maintenance
14,229,Antenna,Nokia,Model-KA,2021-10-21,Active
15,86,Antenna,ZTE,Model-Fr,2023-09-17,Faulty
16,133,Antenna,Ericsson,Model-nO,2022-01-30,Maintenance
17,183,Router,Nokia,Model-MP,2021-11-24,Maintenance
18,386,Antenna,Nokia,Model-cr,2024-11-05,Faulty
19,62,BTS,Huawei,Model-WM,2021-04-02,Active
20,219,BTS,Huawei,Model-mT,2021-03-01,Active
21,405,Antenna,ZTE,Model-aT,2022-09-26,Maintenance
22,246,BTS,Nokia,Model-iS,2021-06-18,Faulty
23,230,BTS,Nokia,Model-kV,2022-07-20,Maintenance
24,79,Router,Huawei,Model-JR,2023-10-20,Faulty
25,149,Antenna,Ericsson,Model-pn,2024-04-29,Active
26,138,Antenna,Ericsson,Model-jo,2022-02-03,Faulty
27,471,Router,Samsung,Model-IE,2026-01-26,Active
28,314,BTS,Huawei,Model-XW,2024-12-03,Faulty
29,376,BTS,Samsung,Model-Tq,2021-02-05,Maintenance
30,423,Antenna,Huawei,Model-GF,2023-05-09,Active
31,389,BTS,ZTE,Model-bK,2022-04-16,Maintenance
32,65,Router,Nokia,Model-ZA,2022-03-14,Maintenance
33,13,Router,ZTE,Model-Ms,2023-12-02,Active
34,213,Antenna,Huawei,Model-Qq,2022-10-06,Active
35,474,Router,Nokia,Model-pG,2021-09-26,Maintenance
36,242,Router,Ericsson,Model-AW,2023-08-31,Maintenance
37,493,Antenna,Ericsson,Model-jj,2023-05-25,Maintenance
38,213,Router,Samsung,Model-GP,2021-02-24,Maintenance
39,181,Router,Huawei,Model-pK,2022-09-04,Active
40,338,Router,Huawei,Model-RK,2023-05-02,Active
41,485,BTS,Ericsson,Model-Se,2023-01-12,Maintenance
42,173,Antenna,ZTE,Model-sN,2024-10-12,Faulty
43,160,Antenna,Nokia,Model-Op,2024-07-18,Faulty
44,164,Antenna,ZTE,Model-lS,2025-11-23,Active
45,465,BTS,ZTE,Model-QM,2022-12-19,Maintenance
46,483,BTS,Ericsson,Model-kE,2023-07-12,Maintenance
47,497,Antenna,Ericsson,Model-hM,2025-06-19,Active
48,188,BTS,Ericsson,Model-vI,2025-04-25,Faulty
49,395,Antenna,Samsung,Model-Zr,2022-12-04,Faulty
50,191,BTS,ZTE,Model-UT,2023-01-24,Faulty
51,405,Router,Huawei,Model-zq,2022-10-22,Active
52,308,Router,Nokia,Model-lF,2022-05-01,Faulty
53,256,Antenna,Samsung,Model-ho,2023-04-10,Active
54,183,BTS,Huawei,Model-Ur,2024-12-24,Active
55,117,BTS,ZTE,Model-wd,2021-02-20,Maintenance
56,282,Router,Ericsson,Model-zo,2021-07-24,Faulty
57,196,Router,ZTE,Model-Uc,2023-02-15,Active
58,34,BTS,Nokia,Model-fX,2023-09-30,Faulty
59,52,BTS,Samsung,Model-XH,2021-02-06,Faulty
60,112,BTS,Samsung,Model-li,2022-12-23,Maintenance
61,252,BTS,Nokia,Model-nM,2024-12-27,Faulty
62,82,BTS,Huawei,Model-Kl,2023-10-28,Maintenance
63,232,BTS,Huawei,Model-rp,2025-04-16,Active
64,227,Antenna,Samsung,Model-EZ,2021-07-29,Faulty
65,233,BTS,Samsung,Model-tu,2024-02-21,Active
66,221,Router,Ericsson,Model-pF,2021-07-02,Faulty
67,436,Antenna,Huawei,Model-gE,2021-07-26,Active
68,413,BTS,Nokia,Model-xp,2021-05-26,Faulty
69,422,Router,Huawei,Model-Nm,2025-04-23,Faulty
70,42,Antenna,Ericsson,Model-Xk,2025-06-12,Faulty
71,21,Router,Samsung,Model-PN,2025-08-08,Faulty
72,42,BTS,Samsung,Model-GO,2025-01-21,Faulty
73,397,BTS,Ericsson,Model-Az,2022-06-08,Faulty
74,113,BTS,Nokia,Model-mO,2022-01-31,Faulty
75,105,BTS,Samsung,Model-ws,2025-11-28,Faulty
76,192,Antenna,ZTE,Model-fB,2022-03-10,Faulty
77,17,Antenna,Samsung,Model-vV,2025-09-04,Active
78,120,Router,ZTE,Model-Lr,2024-10-04,Maintenance
79,393,BTS,Ericsson,Model-lG,2023-07-19,Faulty
80,425,Router,Ericsson,Model-ky,2023-11-18,Maintenance
81,129,Antenna,Samsung,Model-vG,2023-09-07,Faulty
82,130,BTS,Huawei,Model-rK,2021-12-20,Faulty
83,60,BTS,ZTE,Model-ge,2025-06-05,Active
84,48,Antenna,Nokia,Model-Ne,2025-05-22,Active
85,29,Antenna,Samsung,Model-Wq,2025-01-31,Maintenance
86,97,Antenna,Nokia,Model-fb,2023-12-10,Active
87,10,Antenna,Samsung,Model-ql,2023-02-13,Active
88,242,Antenna,Huawei,Model-IJ,2021-02-20,Maintenance
89,314,BTS,Huawei,Model-tx,2024-04-28,Active
90,444,Antenna,Huawei,Model-Tn,2026-01-05,Faulty
91,232,BTS,Huawei,Model-nP,2021-06-12,Maintenance
92,277,BTS,Ericsson,Model-hC,2021-08-13,Maintenance
93,284,Antenna,Ericsson,Model-hW,2025-02-25,Faulty
94,203,Antenna,ZTE,Model-eM,2022-08-02,Active
95,247,BTS,Nokia,Model-IA,2021-04-28,Maintenance
96,290,Antenna,Samsung,Model-bJ,2022-08-29,Maintenance
97,264,Antenna,Samsung,Model-rg,2024-03-30,Faulty
98,443,Antenna,Ericsson,Model-Ol,2022-05-09,Faulty
99,214,Router,Samsung,Model-ZA,2024-08-07,Active
100,200,BTS,Ericsson,Model-YB,2025-08-20,Maintenance
101,433,Router,ZTE,Model-fX,2024-08-11,Active
102,79,Antenna,Nokia,Model-mK,2024-10-28,Active
103,401,Router,ZTE,Model-fd,2024-12-13,Faulty
104,444,Antenna,Huawei,Model-yE,2023-01-20,Maintenance
105,343,Router,Huawei,Model-qz,2022-07-02,Maintenance
106,344,Antenna,Huawei,Model-mz,2025-05-30,Maintenance
107,173,Router,ZTE,Model-pb,2023-10-18,Faulty
108,467,Router,Samsung,Model-xp,2023-02-27,Faulty
109,69,Router,Nokia,Model-AM,2021-12-11,Faulty
110,416,BTS,Huawei,Model-Ss,2021-09-12,Faulty
111,428,Router,Huawei,Model-Bb,2025-07-12,Faulty
112,449,BTS,Huawei,Model-Ep,2024-06-28,Maintenance
113,87,Antenna,Nokia,Model-Ff,2021-04-05,Active
114,101,Router,Huawei,Model-yZ,2024-09-22,Maintenance
115,8,Antenna,Nokia,Model-WC,2023-03-03,Active
116,333,Antenna,Huawei,Model-Iw,2021-12-11,Faulty
117,200,Router,ZTE,Model-eS,2024-05-26,Active
118,87,BTS,ZTE,Model-bR,2022-03-05,Maintenance
119,43,Router,Nokia,Model-GH,2025-02-15,Maintenance
120,385,Antenna,ZTE,Model-xG,2021-02-07,Active
121,109,Antenna,Nokia,Model-fS,2022-06-15,Faulty
122,435,Router,ZTE,Model-lJ,2024-04-08,Faulty
123,408,BTS,ZTE,Model-xD,2021-04-08,Maintenance
124,483,BTS,Nokia,Model-ll,2022-12-22,Active
125,152,Antenna,Samsung,Model-FR,2022-04-07,Faulty
126,17,Antenna,ZTE,Model-IP,2021-02-25,Faulty
127,133,BTS,Huawei,Model-oJ,2022-11-21,Maintenance
128,148,Router,Samsung,Model-Sw,2025-10-15,Faulty
129,277,Antenna,Nokia,Model-MJ,2025-02-02,Active
130,232,BTS,Samsung,Model-Kl,2025-05-28,Maintenance
131,314,Antenna,Ericsson,Model-xI,2025-03-24,Maintenance
132,415,Router,Ericsson,Model-oI,2021-04-04,Active
133,366,BTS,ZTE,Model-tY,2021-11-08,Maintenance
134,228,Antenna,ZTE,Model-af,2022-01-04,Faulty
135,139,Router,Huawei,Model-mN,2022-04-05,Faulty
136,436,Antenna,Samsung,Model-js,2024-12-04,Active
137,399,Router,Ericsson,Model-sq,2022-08-17,Faulty
138,211,Router,ZTE,Model-zS,2021-12-15,Active
139,391,BTS,Samsung,Model-au,2024-02-09,Active
140,499,Router,ZTE,Model-eI,2022-05-29,Faulty
141,28,Antenna,ZTE,Model-Ct,2023-05-30,Active
142,51,Router,Ericsson,Model-Jq,2021-11-25,Faulty
143,491,Router,Ericsson,Model-HQ,2022-02-22,Maintenance
144,442,BTS,ZTE,Model-LY,2025-02-03,Maintenance
145,261,Router,Nokia,Model-Wq,2023-01-13,Active
146,261,Router,ZTE,Model-bA,2023-04-17,Faulty
147,350,Antenna,ZTE,Model-FM,2024-01-13,Faulty
148,352,BTS,Huawei,Model-MC,2025-10-16,Maintenance
149,8,BTS,Huawei,Model-dL,2021-04-22,Maintenance
150,320,BTS,Huawei,Model-Ql,2023-04-13,Faulty
151,138,Router,Nokia,Model-bo,2024-11-21,Active
152,38,BTS,Nokia,Model-Jh,2021-09-21,Maintenance
153,111,Router,ZTE,Model-Xh,2025-11-19,Active
154,480,Router,Huawei,Model-Io,2022-11-13,Active
155,368,Antenna,Nokia,Model-GJ,2022-04-06,Maintenance
156,220,Antenna,Ericsson,Model-YE,2024-04-08,Active
157,337,Antenna,ZTE,Model-ZM,2024-11-10,Active
158,223,Antenna,Samsung,Model-oJ,2022-02-01,Faulty
159,136,Antenna,ZTE,Model-qP,2024-06-17,Active
160,256,Router,Samsung,Model-kM,2025-05-29,Faulty
161,360,Router,Huawei,Model-xP,2025-08-09,Maintenance
162,409,BTS,Samsung,Model-Cn,2023-04-13,Maintenance
163,329,Router,Huawei,Model-YQ,2022-06-26,Faulty
164,450,Router,Ericsson,Model-bQ,2022-03-31,Maintenance
165,463,Antenna,Samsung,Model-zc,2022-07-31,Active
166,434,Router,ZTE,Model-PF,2025-09-18,Active
167,451,Antenna,Huawei,Model-Ye,2024-08-27,Active
168,49,BTS,ZTE,Model-GK,2023-01-20,Maintenance
169,292,BTS,Nokia,Model-iT,2023-02-11,Active
170,382,Router,Huawei,Model-Xh,2021-06-28,Maintenance
171,324,BTS,Samsung,Model-fd,2025-12-28,Active
172,78,Router,Huawei,Model-BZ,2025-10-09,Faulty
173,105,BTS,ZTE,Model-Ik,2021-11-23,Maintenance
174,169,Antenna,Ericsson,Model-BJ,2021-10-23,Maintenance
175,217,Antenna,Huawei,Model-FV,2023-09-24,Active
176,378,Antenna,Samsung,Model-wO,2021-04-23,Maintenance
177,119,Antenna,Nokia,Model-xZ,2023-07-07,Maintenance
178,190,Router,Ericsson,Model-wn,2021-09-29,Faulty
179,255,BTS,Nokia,Model-vM,2022-06-06,Faulty
180,370,Router,Huawei,Model-pJ,2022-08-16,Active
181,266,Antenna,ZTE,Model-Pg,2025-11-14,Faulty
182,149,Router,ZTE,Model-vG,2022-06-01,Active
183,164,BTS,Samsung,Model-ZW,2025-12-12,Active
184,140,Router,ZTE,Model-Lt,2021-10-06,Active
185,347,BTS,Ericsson,Model-eW,2023-06-26,Maintenance
186,488,Router,ZTE,Model-un,2023-08-19,Faulty
187,258,BTS,Samsung,Model-iX,2024-07-01,Active
188,374,BTS,Huawei,Model-vy,2023-06-02,Faulty
189,269,Antenna,Huawei,Model-UL,2021-02-11,Active
190,181,BTS,ZTE,Model-ol,2024-03-20,Faulty
191,160,Antenna,Nokia,Model-GU,2025-08-26,Faulty
192,351,Antenna,Huawei,Model-nK,2024-11-24,Active
193,400,Antenna,ZTE,Model-qb,2025-04-28,Maintenance
194,288,Router,Samsung,Model-QS,2022-05-29,Faulty
195,288,Router,ZTE,Model-HI,2023-10-17,Maintenance
196,380,Router,Huawei,Model-xZ,2024-11-10,Maintenance
197,226,Router,Samsung,Model-gE,2022-03-15,Active
198,11,BTS,ZTE,Model-yQ,2021-05-16,Active
199,10,BTS,Ericsson,Model-jm,2024-02-28,Active
200,271,Router,Samsung,Model-IO,2025-11-03,Faulty
201,273,BTS,Ericsson,Model-HA,2025-09-23,Active
202,424,BTS,Nokia,Model-Xu,2022-12-25,Active
203,402,Antenna,Samsung,Model-sZ,2023-05-16,Faulty
204,183,Antenna,Ericsson,Model-Ca,2024-06-21,Faulty
205,457,Antenna,Huawei,Model-bI,2024-08-02,Active
206,153,Antenna,Huawei,Model-aK,2025-03-25,Active
207,488,BTS,Nokia,Model-mk,2021-05-05,Active
208,315,Router,Samsung,Model-ql,2023-07-10,Active
209,334,BTS,Samsung,Model-di,2022-03-28,Maintenance
210,124,BTS,Samsung,Model-SB,2022-04-04,Maintenance
211,473,BTS,Nokia,Model-ZC,2024-08-13,Active
212,114,Antenna,Samsung,Model-xE,2022-03-20,Maintenance
213,278,Antenna,Huawei,Model-Jm,2024-09-14,Faulty
214,500,Antenna,Ericsson,Model-Qc,2024-05-29,Maintenance
215,414,Router,Huawei,Model-ZV,2021-10-22,Maintenance
216,468,BTS,Huawei,Model-Rc,2024-08-31,Active
217,213,Router,Ericsson,Model-oT,2024-03-01,Maintenance
218,172,Antenna,Huawei,Model-Jx,2021-09-20,Maintenance
219,288,Router,Nokia,Model-ua,2025-11-21,Maintenance
220,435,BTS,Ericsson,Model-Ma,2023-08-21,Maintenance
221,174,BTS,Huawei,Model-Gx,2024-03-10,Faulty
222,113,Antenna,ZTE,Model-bi,2023-06-14,Active
223,376,Antenna,Huawei,Model-kt,2025-09-14,Active
224,405,Router,Nokia,Model-Lh,2024-09-10,Faulty
225,483,Antenna,Samsung,Model-Bu,2023-06-04,Maintenance
226,122,Antenna,Huawei,Model-ug,2025-09-26,Faulty
227,32,BTS,Samsung,Model-xS,2023-08-10,Maintenance
228,222,Antenna,ZTE,Model-Qg,2024-01-11,Faulty
229,119,Antenna,Huawei,Model-US,2022-04-04,Active
230,39,BTS,Ericsson,Model-kU,2024-11-07,Active
231,497,BTS,Samsung,Model-QZ,2021-07-02,Active
232,268,Router,ZTE,Model-Ua,2023-09-19,Maintenance
233,233,Antenna,Ericsson,Model-ps,2023-03-07,Maintenance
234,431,BTS,Ericsson,Model-nn,2021-05-28,Faulty
235,18,Router,Ericsson,Model-gR,2023-08-03,Faulty
236,149,Router,Ericsson,Model-mT,2023-05-13,Active
237,397,Antenna,Huawei,Model-xM,2025-04-29,Maintenance
238,149,Antenna,Huawei,Model-EL,2024-10-13,Faulty
239,126,Router,Huawei,Model-LU,2021-04-20,Maintenance
240,392,BTS,ZTE,Model-YG,2024-07-10,Maintenance
241,302,Router,ZTE,Model-ll,2023-11-22,Active
242,360,Antenna,ZTE,Model-uS,2022-03-10,Active
243,238,BTS,Nokia,Model-mr,2021-02-05,Maintenance
244,135,BTS,ZTE,Model-uM,2021-02-13,Maintenance
245,151,Router,Huawei,Model-oI,2023-02-22,Maintenance
246,236,Antenna,Huawei,Model-ep,2023-09-25,Maintenance
247,224,Router,Nokia,Model-rf,2024-06-25,Active
248,203,Router,Nokia,Model-Zn,2022-09-19,Faulty
249,256,Router,ZTE,Model-as,2025-05-18,Active
250,86,BTS,Samsung,Model-Ow,2023-09-09,Faulty
251,150,BTS,Nokia,Model-Uu,2021-04-24,Maintenance
252,235,Antenna,Ericsson,Model-qa,2023-08-18,Faulty
253,345,Antenna,Huawei,Model-dB,2022-04-08,Active
254,22,Router,Ericsson,Model-go,2021-09-11,Active
255,348,Router,Huawei,Model-RX,2023-08-19,Maintenance
256,285,Router,Huawei,Model-hZ,2021-03-31,Active
257,269,Antenna,Nokia,Model-Vl,2023-07-20,Maintenance
258,466,BTS,Nokia,Model-hh,2025-12-17,Active
259,258,BTS,Ericsson,Model-Ue,2021-11-06,Active
260,29,Router,Huawei,Model-cH,2021-04-30,Maintenance
261,213,Router,Ericsson,Model-HV,2024-10-09,Faulty
262,463,Router,Samsung,Model-Yh,2022-05-07,Active
263,436,Router,Ericsson,Model-js,2023-07-18,Faulty
264,283,Antenna,ZTE,Model-NJ,2021-09-19,Active
265,50,BTS,Ericsson,Model-AO,2022-11-03,Active
266,95,Router,ZTE,Model-pX,2024-06-09,Active
267,463,Antenna,ZTE,Model-YF,2024-05-25,Active
268,499,Router,ZTE,Model-Ye,2021-03-30,Faulty
269,407,Router,Samsung,Model-Js,2021-05-07,Faulty
270,88,BTS,Ericsson,Model-bW,2025-11-01,Active
271,44,Router,Ericsson,Model-Rh,2022-11-12,Active
272,461,BTS,Samsung,Model-uz,2023-12-02,Faulty
273,278,BTS,Huawei,Model-hE,2024-09-23,Maintenance
274,171,BTS,Nokia,Model-Yw,2024-12-23,Maintenance
275,421,Antenna,Ericsson,Model-Ps,2021-02-02,Faulty
276,189,Antenna,Nokia,Model-yT,2022-03-25,Active
277,353,BTS,Samsung,Model-RF,2021-06-16,Active
278,184,Router,Huawei,Model-pj,2024-02-04,Maintenance
279,3,BTS,Huawei,Model-zE,2021-12-04,Maintenance
280,191,Router,Huawei,Model-Nd,2022-08-14,Faulty
281,118,BTS,Samsung,Model-Jc,2022-04-27,Maintenance
282,19,Router,ZTE,Model-dE,2021-07-20,Faulty
283,23,Antenna,ZTE,Model-Fg,2025-05-07,Maintenance
284,413,Router,Nokia,Model-EJ,2021-05-03,Maintenance
285,30,BTS,ZTE,Model-QI,2024-07-01,Maintenance
286,295,Antenna,ZTE,Model-rM,2025-12-14,Active
287,108,Router,Huawei,Model-Dk,2021-09-29,Active
288,367,Router,Huawei,Model-on,2026-01-09,Active
289,281,Router,Nokia,Model-YY,2021-06-07,Maintenance
290,128,Router,Ericsson,Model-Zq,2024-09-02,Faulty
291,229,Router,Nokia,Model-zq,2025-07-09,Faulty
292,111,Antenna,Nokia,Model-Ww,2022-11-02,Faulty
293,136,Antenna,Samsung,Model-Dx,2024-04-05,Faulty
294,362,Antenna,Samsung,Model-iq,2023-04-17,Active
295,186,Antenna,Nokia,Model-oP,2025-09-19,Active
296,144,BTS,Nokia,Model-AS,2024-11-29,Maintenance
297,72,Antenna,Nokia,Model-Fq,2024-07-09,Maintenance
298,129,Router,ZTE,Model-mV,2022-10-07,Faulty
299,364,Router,Samsung,Model-fZ,2024-10-27,Active
300,261,Antenna,Nokia,Model-Ub,2025-12-13,Faulty
301,3,Router,Huawei,Model-nn,2021-07-14,Maintenance
302,449,Antenna,Huawei,Model-Xu,2023-06-11,Maintenance
303,388,Router,ZTE,Model-WG,2025-09-11,Faulty
304,104,BTS,ZTE,Model-vu,2022-10-12,Maintenance
305,483,BTS,Ericsson,Model-IV,2023-08-24,Faulty
306,224,Antenna,Ericsson,Model-nK,2023-02-09,Active
307,320,Antenna,Ericsson,Model-Bj,2022-08-23,Faulty
308,362,Antenna,ZTE,Model-KA,2023-01-01,Active
309,354,Router,ZTE,Model-QX,2023-12-26,Active
310,491,Antenna,ZTE,Model-Tl,2025-05-24,Maintenance
311,473,BTS,Huawei,Model-MF,2022-01-20,Maintenance
312,10,Router,ZTE,Model-xU,2021-09-19,Maintenance
313,405,Antenna,Huawei,Model-Ev,2023-08-01,Faulty
314,384,Router,Ericsson,Model-Xa,2022-09-23,Faulty
315,302,Router,Ericsson,Model-Go,2023-04-25,Maintenance
316,231,Antenna,Ericsson,Model-NW,2021-02-08,Faulty
317,219,Router,Nokia,Model-Lm,2022-08-27,Maintenance
318,411,BTS,Nokia,Model-fD,2024-04-22,Faulty
319,66,BTS,Samsung,Model-aL,2021-12-03,Active
320,425,Router,Samsung,Model-RC,2022-02-18,Active
321,112,Antenna,Samsung,Model-FQ,2025-11-02,Maintenance
322,13,Router,Nokia,Model-gZ,2025-05-18,Faulty
323,393,BTS,Nokia,Model-Vn,2023-10-13,Faulty
324,500,Router,Samsung,Model-xj,2022-01-23,Active
325,420,Router,Samsung,Model-Tv,2023-08-08,Active
326,86,BTS,ZTE,Model-vD,2022-08-14,Maintenance
327,234,Router,Samsung,Model-fJ,2021-03-31,Active
328,90,Router,ZTE,Model-Uo,2022-06-07,Maintenance
329,314,Antenna,Huawei,Model-Ex,2025-04-18,Active
330,54,Antenna,Nokia,Model-kW,2022-04-13,Active
331,12,BTS,Samsung,Model-nL,2025-08-18,Faulty
332,209,BTS,Nokia,Model-uV,2022-05-03,Active
333,462,BTS,Nokia,Model-CO,2021-07-01,Active
334,14,Antenna,Nokia,Model-Uj,2023-01-11,Maintenance
335,121,BTS,Huawei,Model-oM,2021-12-18,Active
336,418,BTS,Ericsson,Model-UL,2024-01-03,Maintenance
337,437,BTS,Samsung,Model-Wb,2022-03-19,Active
338,377,Antenna,Ericsson,Model-TR,2024-12-19,Active
339,20,Router,Ericsson,Model-bY,2021-10-20,Maintenance
340,75,BTS,Ericsson,Model-En,2023-11-18,Faulty
341,400,Router,Nokia,Model-tn,2025-02-25,Maintenance
342,243,BTS,ZTE,Model-ca,2022-06-29,Maintenance
343,223,Router,Nokia,Model-wI,2025-04-11,Maintenance
344,70,Antenna,Nokia,Model-FS,2023-09-15,Faulty
345,312,Antenna,Ericsson,Model-UY,2025-09-08,Active
346,211,BTS,Nokia,Model-OX,2021-03-21,Maintenance
347,101,Router,Ericsson,Model-cM,2023-10-27,Maintenance
348,186,Antenna,ZTE,Model-gK,2024-10-09,Faulty
349,132,BTS,Samsung,Model-Tm,2022-02-11,Maintenance
350,111,BTS,Ericsson,Model-dU,2021-10-19,Active
351,381,Antenna,ZTE,Model-nk,2021-07-03,Faulty
352,132,Antenna,Samsung,Model-IK,2023-04-22,Active
353,20,BTS,Huawei,Model-rD,2022-04-27,Active
354,394,Router,Ericsson,Model-aV,2025-06-16,Faulty
355,24,Router,Ericsson,Model-Nd,2023-09-22,Maintenance
356,227,Router,Huawei,Model-dL,2024-02-02,Active
357,154,BTS,Huawei,Model-mV,2024-01-30,Active
358,293,Antenna,Ericsson,Model-Tm,2021-10-19,Active
359,230,BTS,Huawei,Model-Dt,2026-01-15,Active
360,469,Antenna,Nokia,Model-nw,2021-07-23,Faulty
361,310,Router,Samsung,Model-ot,2025-02-28,Faulty
