chat_id,customer_id,tower_id,timestamp,messages
CHT_1,CUST_1851,TWR_1020,2026-02-06 06:00:03.534824,"[{'sender': 'customer', 'text': 'No signal in my area'}, {'sender': 'bot', 'text': 'Have you restarted your device?'}, {'sender': 'customer', 'text': 'Pune Hinjewadi'}]"
CHT_2,CUST_1771,TWR_1097,2026-02-06 11:06:03.534859,"[{'sender': 'customer', 'text': 'Network is slow'}, {'sender': 'bot', 'text': 'Have you restarted your device?'}, {'sender': 'customer', 'text': 'Pune Hinjewadi'}]"
CHT_3,CUST_1757,TWR_1049,2026-02-06 06:02:03.534869,"[{'sender': 'customer', 'text': 'Voice is breaking during calls'}, {'sender': 'bot', 'text': 'Is this happening at a specific time?'}, {'sender': 'customer', 'text': 'Pune Hinjewadi'}]"
CHT_4,CUST_1285,TWR_1041,2026-02-06 12:06:03.534873,"[{'sender': 'customer', 'text': 'Calls are dropping frequently'}, {'sender': 'bot', 'text': 'Is the issue ongoing right now?'}, {'sender': 'customer', 'text': 'Chennai OMR'}]"
CHT_5,CUST_1023,TWR_1007,2026-02-06 03:26:03.534877,"[{'sender': 'customer', 'text': 'Network is slow'}, {'sender': 'bot', 'text': 'Is the issue ongoing right now?'}, {'sender': 'customer', 'text': 'Bangalore Whitefield'}]"
CHT_6,CUST_1095,TWR_1066,2026-02-05 19:57:03.534881,"[{'sender': 'customer', 'text': 'Network is slow'}, {'sender': 'bot', 'text': 'Is the issue ongoing right now?'}, {'sender': 'customer', 'text': 'Chennai OMR'}]"
CHT_7,CUST_1468,TWR_1035,2026-02-06 05:55:03.534885,"[{'sender': 'customer', 'text': 'Voice is breaking during calls'}, {'sender': 'bot', 'text': 'Is this happening at a specific time?'}, {'sender': 'customer', 'text': 'Bangalore Whitefield'}]"
CHT_8,CUST_1722,TWR_1027,2026-02-06 07:27:03.534888,"[{'sender': 'customer', 'text': 'No signal in my area'}, {'sender': 'bot', 'text': 'Have you restarted your device?'}, {'sender': 'customer', 'text': 'Hyderabad Gachibowli'}]"
CHT_9,CUST_1480,TWR_1063,2026-02-06 03:03:03.534893,"[{'sender': 'customer', 'text': 'Calls are dropping frequently'}, {'sender': 'bot', 'text': 'Is the issue ongoing right now?'}, {'sender': 'customer', 'text': 'Delhi Noida'}]"
CHT_10,CUST_1766,TWR_1043,2026-02-06 09:17:03.534896,"[{'sender': 'customer', 'text': 'Network is slow'}, {'sender': 'bot', 'text': 'Is this happening at a specific time?'}, {'sender': 'customer', 'text': 'Pune Hinjewadi'}]"
